Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 67.21      2.46     2.46                             main
  7.92      2.75     0.29       76     3.82     9.74  malloc_and_format()
  4.37      2.91     0.16 23355453     0.00     0.00  cv::Matx<unsigned char, 3, 1>::Matx(unsigned char const*)
  3.83      3.05     0.14 69978186     0.00     0.00  cv::Vec<unsigned char, 3>::operator[](int)
  2.87      3.15     0.10  8974986     0.00     0.00  set_pixel_color(sf::RenderWindow&, int, int, int)
  2.73      3.25     0.10       75     1.33    11.60  calculateRedCentroid(int, int, n*, bool*)
  2.60      3.35     0.10        1    95.00   269.95  SFML_out(sf::RenderWindow&, sf::Font&)
  2.19      3.43     0.08 23343273     0.00     0.00  cv::Vec<unsigned char, 3>& cv::Mat::at<cv::Vec<unsigned char, 3> >(int, int)
  1.91      3.50     0.07 23340418     0.00     0.00  cv::Vec<unsigned char, 3>::Vec(cv::Vec<unsigned char, 3> const&)
  1.37      3.55     0.05  8539989     0.00     0.00  sf::Vector2<float>::Vector2(float, float)
  1.09      3.59     0.04                             _init
  0.82      3.62     0.03 23290326     0.00     0.00  isRedPixel(RGBPixel)
  0.55      3.64     0.02                             std::chrono::duration<long, std::ratio<1l, 1l> >::duration<int, void>(int const&)
  0.27      3.65     0.01    34773     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_Alloc_hider::~_Alloc_hider()
  0.14      3.65     0.01    18006     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.14      3.66     0.01    17892     0.00     0.00  std::__cxx11::to_string(double)
  0.00      3.66     0.00    71356     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_data() const
  0.00      3.66     0.00    53578     0.00     0.00  sf::Drawable::~Drawable()
  0.00      3.66     0.00    36216     0.00     0.00  sf::String::~String()
  0.00      3.66     0.00    35974     0.00     0.00  __gthread_active_p()
  0.00      3.66     0.00    35961     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl::~_Vector_impl()
  0.00      3.66     0.00    35932     0.00     0.00  unsigned int const* std::__addressof<unsigned int const>(unsigned int const&)
  0.00      3.66     0.00    35862     0.00     0.00  unsigned int const* std::addressof<unsigned int const>(unsigned int const&)
  0.00      3.66     0.00    35825     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_get_allocator()
  0.00      3.66     0.00    35790     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_deallocate(sf::Vertex*, unsigned long)
  0.00      3.66     0.00    35753     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::~_Vector_base()
  0.00      3.66     0.00    35747     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_destroy(unsigned long)
  0.00      3.66     0.00    35705     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_local_data() const
  0.00      3.66     0.00    35685     0.00     0.00  std::__ptr_traits_ptr_to<unsigned int const*, unsigned int const, false>::pointer_to(unsigned int const&)
  0.00      3.66     0.00    35682     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_is_local() const
  0.00      3.66     0.00    35682     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::~basic_string()
  0.00      3.66     0.00    35661     0.00     0.00  std::__new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      3.66     0.00    35660     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_dispose()
  0.00      3.66     0.00    35626     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_get_Tp_allocator()
  0.00      3.66     0.00    35507     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sf::Vertex*>(sf::Vertex*, sf::Vertex*)
  0.00      3.66     0.00    35485     0.00     0.00  void std::_Destroy<sf::Vertex*>(sf::Vertex*, sf::Vertex*)
  0.00      3.66     0.00    35484     0.00     0.00  std::__new_allocator<sf::Vertex>::~__new_allocator()
  0.00      3.66     0.00    35483     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::~vector()
  0.00      3.66     0.00    35255     0.00     0.00  sf::VertexArray::~VertexArray()
  0.00      3.66     0.00    34596     0.00     0.00  std::__new_allocator<unsigned int>::~__new_allocator()
  0.00      3.66     0.00    18484     0.00     0.00  std::mutex::lock()
  0.00      3.66     0.00    18409     0.00     0.00  std::mutex::unlock()
  0.00      3.66     0.00    18069     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      3.66     0.00    18042     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00      3.66     0.00    17941     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      3.66     0.00    17910     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      3.66     0.00    17764     0.00     0.00  std::__new_allocator<sf::Vertex>::deallocate(sf::Vertex*, unsigned long)
  0.00      3.66     0.00    17736     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      3.66     0.00    17658     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      3.66     0.00    17562     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      3.66     0.00    17535     0.00     0.00  sf::Text::~Text()
  0.00      3.66     0.00     1251     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::count() const
  0.00      3.66     0.00      607     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.00      3.66     0.00      534     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<long, void>(long const&)
  0.00      3.66     0.00      359     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> >::count() const
  0.00      3.66     0.00      181     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00      3.66     0.00      181     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<long, std::ratio<1l, 1l>, void>(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      3.66     0.00      181     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<int, void>(int const&)
  0.00      3.66     0.00      181     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000l> >, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000l>, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&, std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      3.66     0.00      180     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000l> >, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      3.66     0.00      180     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1l> > >::value, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1l> >, long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00      3.66     0.00      180     0.00     0.00  std::chrono::duration_values<long>::zero()
